Product_Name,Total_Profit,Total_Revenue
Cubify CubeX 3D Printer Double Head Print,-8879.9704,11099.963
Lexmark MX611dhe Monochrome Laser Printer,-4589.973,16829.901
Cubify CubeX 3D Printer Triple Head Print,-3839.9904,7999.98
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,-2876.1156,9917.640000000001
Bush Advantage Collection Racetrack Conference Table,-1934.3976,9544.725
GBC DocuBind P400 Electric Binding System,-1878.1662000000003,17965.068
Cisco TelePresence System EX90 Videoconferencing Unit,-1811.0784,22638.48
Martin Yale Chadless Opener Electric Letter Opener,-1299.1836,16656.2
Balt Solid Wood Round Tables,-1201.0581,6518.754
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,-1148.4375,1706.25
